"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"90091","HCPP - 1833 Cost","HCPP - 1833 Cost","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement","UMWA Health and Retirement Funds","02/01/1974","No","42252","*","42252"
"E3014","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","Commonwealth of PA Pub Schools Retirement System","01/01/2007","Yes","*","96712","96712"
"H0022","Demo","Medicare-Medicaid Plan HMO/HMOPOS","BUCKEYE COMMUNITY HEALTH PLAN, INC.","Buckeye Health Plan - MyCare Ohio","Centene Corporation","05/01/2014","Yes","*","11346","11346"
"H0028","Local CCP","HMO/HMOPOS","CHA HMO, INC.","Humana","Humana Inc.","01/01/2013","Yes","*","381046","381046"
"H0029","Local CCP","HMO/HMOPOS","COORDINATED CARE OF WASHINGTON, INC.","Allwell","Centene Corporation","01/01/2018","Yes","*","*","*"
"H0034","Local CCP","HMO/HMOPOS","HAMASPIK, INC.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc.","01/01/2020","Yes","*","1370","1370"
"H0062","Local CCP","HMO/HMOPOS","SUPERIOR HEALTHPLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2017","Yes","*","*","*"
"H0074","Local CCP","Local PPO","WELLCARE OF MISSISSIPPI, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","1774","1774"
"H0088","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF NEW YORK, INC.","Wellcare","Centene Corporation","01/01/2018","Yes","*","1958","1958"
"H0104","Local CCP","Local PPO","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","BlueCross BlueShield of Alabama","07/01/2005","Yes","*","106691","106691"
"H0105","National PACE","National PACE","Orangeburg Senior Helping Center, LLC","Orangeburg Senior Helping Center: A PACE Healthcare Program","Orangeburg Senior Helping Center, LLC","03/01/2008","Yes","*","84","84"
"H0107","Local CCP","Local PPO","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Health Care Service Corporation","01/01/2014","Yes","44350","35255","79605"
"H0111","Local CCP","Local PPO","WELLCARE OF GEORGIA, INC.","Wellcare","Centene Corporation","01/01/2018","Yes","*","9560","9560"
"H0112","National PACE","National PACE","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Morse Life Home Care, Inc.","11/01/2013","Yes","*","805","805"
"H0137","Demo","Medicare-Medicaid Plan HMO/HMOPOS","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance Massachusetts","Commonwealth Care Alliance, Inc.","10/01/2013","Yes","*","32716","32716"
"H0154","Local CCP","HMO/HMOPOS","VIVA HEALTH, INC.","VIVA Medicare","Triton Health Systems, L.L.C.","05/01/1998","Yes","1434","54813","56247"
"H0169","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","*","90093","90093"
